Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_228_1029,VPWR,li1,479.0900,633.7600,1.800000
FILLER_228_1021,VPWR,li1,477.0200,633.7600,1.800000
FILLER_228_1009,VPWR,li1,472.4200,633.7600,1.800000
FILLER_228_1005,VPWR,li1,468.5100,633.7600,1.800000
FILLER_228_993,VPWR,li1,465.0600,633.7600,1.800000
FILLER_228_981,VPWR,li1,459.5400,633.7600,1.800000
FILLER_228_977,VPWR,li1,455.6300,633.7600,1.800000
FILLER_228_965,VPWR,li1,452.1800,633.7600,1.800000
FILLER_228_953,VPWR,li1,446.6600,633.7600,1.800000
FILLER_228_951,VPWR,li1,443.2100,633.7600,1.800000
FILLER_228_939,VPWR,li1,440.2200,633.7600,1.800000
FILLER_228_935,VPWR,li1,436.0800,633.7600,1.800000
FILLER_228_927,VPWR,li1,433.7800,633.7600,1.800000
FILLER_228_921,VPWR,li1,429.8700,633.7600,1.800000
FILLER_228_909,VPWR,li1,426.4200,633.7600,1.800000
FILLER_228_897,VPWR,li1,420.9000,633.7600,1.800000
FILLER_228_893,VPWR,li1,416.9900,633.7600,1.800000
FILLER_228_881,VPWR,li1,413.5400,633.7600,1.800000
FILLER_228_869,VPWR,li1,408.0200,633.7600,1.800000
FILLER_228_865,VPWR,li1,404.1100,633.7600,1.800000
FILLER_228_853,VPWR,li1,400.6600,633.7600,1.800000
FILLER_228_841,VPWR,li1,395.1400,633.7600,1.800000
FILLER_228_839,VPWR,li1,391.6900,633.7600,1.800000
FILLER_228_833,VPWR,li1,390.0800,633.7600,1.800000
FILLER_228_825,VPWR,li1,385.4800,633.7600,1.800000
FILLER_228_813,VPWR,li1,382.2600,633.7600,1.800000
FILLER_228_809,VPWR,li1,378.3500,633.7600,1.800000
FILLER_228_797,VPWR,li1,374.9000,633.7600,1.800000
FILLER_228_785,VPWR,li1,369.3800,633.7600,1.800000
FILLER_228_781,VPWR,li1,365.4700,633.7600,1.800000
FILLER_228_769,VPWR,li1,362.0200,633.7600,1.800000
FILLER_228_759,VPWR,li1,355.5800,633.7600,1.800000
FILLER_228_755,VPWR,li1,353.0500,633.7600,1.800000
FILLER_228_749,VPWR,li1,350.5200,633.7600,1.800000
FILLER_228_741,VPWR,li1,348.2200,633.7600,1.800000
FILLER_228_729,VPWR,li1,343.6200,633.7600,1.800000
FILLER_228_726,VPWR,li1,339.9400,633.7600,1.800000
FILLER_228_718,VPWR,li1,337.6400,633.7600,1.800000
FILLER_228_711,VPWR,li1,332.8100,633.7600,1.800000
FILLER_228_707,VPWR,li1,331.6600,633.7600,1.800000
FILLER_228_688,VPWR,li1,324.7600,633.7600,1.800000
FILLER_228_681,VPWR,li1,319.0100,633.7600,1.800000
FILLER_228_673,VPWR,li1,316.9400,633.7600,1.800000
FILLER_228_671,VPWR,li1,314.4100,633.7600,1.800000
FILLER_228_665,VPWR,li1,312.8000,633.7600,1.800000
FILLER_228_657,VPWR,li1,308.2000,633.7600,1.800000
FILLER_228_645,VPWR,li1,304.9800,633.7600,1.800000
FILLER_228_638,VPWR,li1,300.3800,633.7600,1.800000
FILLER_228_628,VPWR,li1,295.3200,633.7600,1.800000
FILLER_228_621,VPWR,li1,291.4100,633.7600,1.800000
FILLER_228_617,VPWR,li1,290.2600,633.7600,1.800000
FILLER_228_613,VPWR,li1,288.1900,633.7600,1.800000
FILLER_228_601,VPWR,li1,284.7400,633.7600,1.800000
FILLER_228_589,VPWR,li1,279.2200,633.7600,1.800000
FILLER_228_585,VPWR,li1,275.3100,633.7600,1.800000
FILLER_228_573,VPWR,li1,271.8600,633.7600,1.800000
FILLER_228_561,VPWR,li1,266.3400,633.7600,1.800000
FILLER_228_557,VPWR,li1,262.4300,633.7600,1.800000
FILLER_228_545,VPWR,li1,258.9800,633.7600,1.800000
FILLER_228_533,VPWR,li1,253.4600,633.7600,1.800000
FILLER_228_525,VPWR,li1,247.2500,633.7600,1.800000
FILLER_228_519,VPWR,li1,245.6400,633.7600,1.800000
FILLER_228_505,VPWR,li1,239.6600,633.7600,1.800000
FILLER_228_503,VPWR,li1,237.1300,633.7600,1.800000
FILLER_228_495,VPWR,li1,235.0600,633.7600,1.800000
FILLER_228_483,VPWR,li1,230.4600,633.7600,1.800000
FILLER_228_473,VPWR,li1,223.7900,633.7600,1.800000
FILLER_228_461,VPWR,li1,220.3400,633.7600,1.800000
FILLER_228_449,VPWR,li1,214.8200,633.7600,1.800000
FILLER_228_444,VPWR,li1,210.6800,633.7600,1.800000
FILLER_228_429,VPWR,li1,203.5500,633.7600,1.800000
FILLER_228_421,VPWR,li1,201.0200,633.7600,1.800000
FILLER_228_414,VPWR,li1,197.3400,633.7600,1.800000
FILLER_228_402,VPWR,li1,193.2000,633.7600,1.800000
FILLER_228_393,VPWR,li1,186.9900,633.7600,1.800000
FILLER_228_391,VPWR,li1,185.6100,633.7600,1.800000
FILLER_228_385,VPWR,li1,184.0000,633.7600,1.800000
FILLER_228_377,VPWR,li1,179.4000,633.7600,1.800000
FILLER_228_365,VPWR,li1,176.1800,633.7600,1.800000
FILLER_228_361,VPWR,li1,172.2700,633.7600,1.800000
FILLER_228_349,VPWR,li1,168.8200,633.7600,1.800000
FILLER_228_337,VPWR,li1,163.3000,633.7600,1.800000
FILLER_228_333,VPWR,li1,159.3900,633.7600,1.800000
FILLER_228_321,VPWR,li1,155.9400,633.7600,1.800000
FILLER_228_309,VPWR,li1,150.4200,633.7600,1.800000
FILLER_228_305,VPWR,li1,146.5100,633.7600,1.800000
FILLER_228_293,VPWR,li1,143.0600,633.7600,1.800000
FILLER_228_281,VPWR,li1,137.5400,633.7600,1.800000
FILLER_228_277,VPWR,li1,133.6300,633.7600,1.800000
FILLER_228_265,VPWR,li1,130.1800,633.7600,1.800000
FILLER_228_253,VPWR,li1,124.6600,633.7600,1.800000
FILLER_228_249,VPWR,li1,120.7500,633.7600,1.800000
FILLER_228_237,VPWR,li1,117.3000,633.7600,1.800000
FILLER_228_225,VPWR,li1,111.7800,633.7600,1.800000
FILLER_228_221,VPWR,li1,107.8700,633.7600,1.800000
FILLER_228_209,VPWR,li1,104.4200,633.7600,1.800000
FILLER_228_197,VPWR,li1,98.9000,633.7600,1.800000
FILLER_228_193,VPWR,li1,94.9900,633.7600,1.800000
FILLER_228_181,VPWR,li1,91.5400,633.7600,1.800000
FILLER_228_169,VPWR,li1,86.0200,633.7600,1.800000
FILLER_228_165,VPWR,li1,82.1100,633.7600,1.800000
FILLER_228_153,VPWR,li1,78.6600,633.7600,1.800000
FILLER_228_141,VPWR,li1,73.1400,633.7600,1.800000
FILLER_228_137,VPWR,li1,69.2300,633.7600,1.800000
FILLER_228_125,VPWR,li1,65.7800,633.7600,1.800000
FILLER_228_113,VPWR,li1,60.2600,633.7600,1.800000
FILLER_228_109,VPWR,li1,56.3500,633.7600,1.800000
FILLER_228_97,VPWR,li1,52.9000,633.7600,1.800000
FILLER_228_85,VPWR,li1,47.3800,633.7600,1.800000
FILLER_228_81,VPWR,li1,43.4700,633.7600,1.800000
FILLER_228_69,VPWR,li1,40.0200,633.7600,1.800000
FILLER_228_57,VPWR,li1,34.5000,633.7600,1.800000
FILLER_228_53,VPWR,li1,30.5900,633.7600,1.800000
FILLER_228_41,VPWR,li1,27.1400,633.7600,1.800000
FILLER_228_29,VPWR,li1,21.6200,633.7600,1.800000
FILLER_228_27,VPWR,li1,18.1700,633.7600,1.800000
FILLER_228_15,VPWR,li1,15.1800,633.7600,1.800000
FILLER_228_3,VPWR,li1,9.6600,633.7600,1.800000
FILLER_227_1166,VPWR,li1,542.3400,628.3200,1.800000
FILLER_227_1158,VPWR,li1,540.0400,628.3200,1.800000
FILLER_227_1146,VPWR,li1,535.4400,628.3200,1.800000
FILLER_227_1134,VPWR,li1,529.9200,628.3200,1.800000
FILLER_227_1122,VPWR,li1,524.4000,628.3200,1.800000
FILLER_227_69,VPWR,li1,37.7200,628.3200,1.800000
FILLER_227_57,VPWR,li1,34.5000,628.3200,1.800000
FILLER_227_55,VPWR,li1,31.0500,628.3200,1.800000
FILLER_227_51,VPWR,li1,29.9000,628.3200,1.800000
FILLER_227_39,VPWR,li1,26.2200,628.3200,1.800000
FILLER_227_27,VPWR,li1,20.7000,628.3200,1.800000
FILLER_227_15,VPWR,li1,15.1800,628.3200,1.800000
FILLER_227_3,VPWR,li1,9.6600,628.3200,1.800000
FILLER_226_1160,VPWR,li1,540.9600,628.3200,1.800000
FILLER_226_1148,VPWR,li1,536.3600,628.3200,1.800000
FILLER_226_1146,VPWR,li1,532.9100,628.3200,1.800000
FILLER_226_1134,VPWR,li1,529.9200,628.3200,1.800000
FILLER_226_1122,VPWR,li1,524.4000,628.3200,1.800000
FILLER_226_65,VPWR,li1,36.8000,628.3200,1.800000
FILLER_226_53,VPWR,li1,32.6600,628.3200,1.800000
FILLER_226_41,VPWR,li1,27.1400,628.3200,1.800000
FILLER_226_29,VPWR,li1,21.6200,628.3200,1.800000
FILLER_226_27,VPWR,li1,18.1700,628.3200,1.800000
FILLER_226_15,VPWR,li1,15.1800,628.3200,1.800000
FILLER_226_3,VPWR,li1,9.6600,628.3200,1.800000
FILLER_225_1166,VPWR,li1,542.3400,622.8800,1.800000
FILLER_225_1158,VPWR,li1,540.0400,622.8800,1.800000
FILLER_225_1146,VPWR,li1,535.4400,622.8800,1.800000
FILLER_225_1134,VPWR,li1,529.9200,622.8800,1.800000
FILLER_225_1122,VPWR,li1,524.4000,622.8800,1.800000
FILLER_225_69,VPWR,li1,37.7200,622.8800,1.800000
FILLER_225_57,VPWR,li1,34.5000,622.8800,1.800000
FILLER_225_55,VPWR,li1,31.0500,622.8800,1.800000
FILLER_225_51,VPWR,li1,29.9000,622.8800,1.800000
FILLER_225_39,VPWR,li1,26.2200,622.8800,1.800000
FILLER_225_27,VPWR,li1,20.7000,622.8800,1.800000
FILLER_225_15,VPWR,li1,15.1800,622.8800,1.800000
FILLER_225_3,VPWR,li1,9.6600,622.8800,1.800000
FILLER_224_1160,VPWR,li1,540.9600,622.8800,1.800000
FILLER_224_1148,VPWR,li1,536.3600,622.8800,1.800000
FILLER_224_1146,VPWR,li1,532.9100,622.8800,1.800000
FILLER_224_1134,VPWR,li1,529.9200,622.8800,1.800000
FILLER_224_1122,VPWR,li1,524.4000,622.8800,1.800000
FILLER_224_65,VPWR,li1,36.8000,622.8800,1.800000
FILLER_224_53,VPWR,li1,32.6600,622.8800,1.800000
FILLER_224_41,VPWR,li1,27.1400,622.8800,1.800000
FILLER_224_29,VPWR,li1,21.6200,622.8800,1.800000
FILLER_224_27,VPWR,li1,18.1700,622.8800,1.800000
FILLER_224_15,VPWR,li1,15.1800,622.8800,1.800000
FILLER_224_3,VPWR,li1,9.6600,622.8800,1.800000
FILLER_223_1166,VPWR,li1,542.3400,617.4400,1.800000
FILLER_223_1158,VPWR,li1,540.0400,617.4400,1.800000
FILLER_223_1146,VPWR,li1,535.4400,617.4400,1.800000
FILLER_223_1134,VPWR,li1,529.9200,617.4400,1.800000
FILLER_223_1122,VPWR,li1,524.4000,617.4400,1.800000
FILLER_223_69,VPWR,li1,37.7200,617.4400,1.800000
FILLER_223_57,VPWR,li1,34.5000,617.4400,1.800000
FILLER_223_55,VPWR,li1,31.0500,617.4400,1.800000
FILLER_223_51,VPWR,li1,29.9000,617.4400,1.800000
FILLER_223_39,VPWR,li1,26.2200,617.4400,1.800000
FILLER_223_27,VPWR,li1,20.7000,617.4400,1.800000
FILLER_223_15,VPWR,li1,15.1800,617.4400,1.800000
FILLER_223_3,VPWR,li1,9.6600,617.4400,1.800000
FILLER_222_1160,VPWR,li1,540.9600,617.4400,1.800000
FILLER_222_1148,VPWR,li1,536.3600,617.4400,1.800000
FILLER_222_1146,VPWR,li1,532.9100,617.4400,1.800000
FILLER_222_1134,VPWR,li1,529.9200,617.4400,1.800000
FILLER_222_1122,VPWR,li1,524.4000,617.4400,1.800000
FILLER_222_65,VPWR,li1,36.8000,617.4400,1.800000
FILLER_222_53,VPWR,li1,32.6600,617.4400,1.800000
